"Источник трафика","Площадка","Страна","Визиты","Посетители","Отказы","Время на сайте","Целевые посетители (Переход в Telegram)","Целевые посетители (Переход в WhatsApp)","Целевые посетители (Автоцель: клик по email)","Целевые посетители (Отправка формы (go to thank-you-page))","Целевые посетители (Клик кнопки Звонок)","Целевые посетители (Клик номера телефона (footer))"
"Переходы по рекламе","by.tut.nurkz.android","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","car.jam.traffic.seat.unblock","Россия","1","1","0.0","00:04:39","0","1","0","0","0","0"
"Переходы по рекламе","caravan.kz","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","casual.celeb.fake.call","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","casual.shape.transform.race","Казахстан","1","1","0.0","00:00:27","0","0","0","0","0","0"
"Переходы по рекламе","cataloxy.ru","Россия","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","cc.bubble.family","Азербайджан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","cct.clever.courageous.treasure","Таджикистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","championat.com","Армения","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","championat.com","Россия","1","1","0.0","00:02:06","0","0","0","0","0","0"
"Переходы по рекламе","classic.card.solitaire.pgmaker.huawei","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","cn.feelcool.superfiles","Не определено","1","1","0.0","00:03:13","0","0","0","0","0","0"
"Переходы по рекламе","color.paint.by.number.pgmaker.huawei","Молдова","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.Binacle.FirstToLife","Казахстан","1","1","0.0","00:00:34","0","0","0","0","0","0"
"Переходы по рекламе","com.CabinaGames.ToiletFight","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.CristianoRonaldo.RonaldoPuzzleCR7","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.DVloper.Granny3","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.FailGames.RusCarsCrash","Кыргызстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.IceCubeGame.CarCops","Казахстан","1","1","0.0","00:00:18","0","1","0","0","0","0"
"Переходы по рекламе","com.IceCubeGame.CarCops","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.KisekiGames.smart","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.LaplaceShukret.PlantsVsBrain","Казахстан","1","1","0.0","00:00:34","0","0","0","0","0","0"
"Переходы по рекламе","com.LastCall.OperSueta","Узбекистан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.Lightneer.BazookaBoy","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.MadOut.BIG","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.MadOut.BIG","Кыргызстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.MegaJoy.CatPuzzle68","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.NikitaPokruchin.ALTCITYOnline","Азербайджан","1","1","0.0","00:00:53","0","0","0","0","0","0"
"Переходы по рекламе","com.Olnip.MergeElements","Казахстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.Polystation.BuildABabe","Азербайджан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.Polystation.BuildABabe","Беларусь","1","1","1.0","00:00:10","0","0","0","0","0","0"
"Переходы по рекламе","com.Polystation.BuildABabe","Россия","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.Polystation.BuildABabe","Таджикистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.PoxelStudios.DudeTheftAuto","Казахстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.SekGames.MyDreamHospital","Казахстан","1","1","0.0","00:09:57","0","0","0","0","0","0"
"Переходы по рекламе","com.TGZS.TDZ4","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.YsoCorp.TankMergeRoyal","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.abi.cook.chill","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.acesgame.adventureskateboard7","Азербайджан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.acesgame.adventureskateboard7","Кыргызстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.acesgame.magictiles","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.acesgame.squidgamemix","Не определено","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.acesgame.subwaysurfers","Таджикистан","1","1","0.0","00:00:01","0","0","0","0","0","0"
"Переходы по рекламе","com.acesgame.watercolorsort","Не определено","1","1","0.0","00:01:03","0","1","0","0","0","0"
"Переходы по рекламе","com.acesnative.subwaysurfers2","Узбекистан","1","1","0.0","00:00:20","0","0","0","0","0","0"
"Переходы по рекламе","com.acesnative.watercolorsort","Узбекистан","1","1","0.0","00:00:17","0","0","0","0","0","0"
"Переходы по рекламе","com.action.catchy.robbers","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.action.web.fist","Азербайджан","1","1","0.0","00:14:12","0","0","0","0","0","0"
"Переходы по рекламе","com.actopolus.PixelDudeSandbox","Азербайджан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.actopolus.PixelDudeSandbox","Таджикистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.adh.pec.mi","Абхазия","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.adventure.piano.kpopstar","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.agedstudio.card.solitaire.klondike","Россия","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.albayoo.block.mania","Узбекистан","1","1","0.0","00:28:16","0","0","0","0","0","0"
"Переходы по рекламе","com.alexp.eyemix","Азербайджан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.alexp.eyemix","Беларусь","1","1","0.0","00:00:23","0","0","0","0","0","0"
"Переходы по рекламе","com.alkhorazmiy.muslimtaqvim","Таджикистан","1","1","0.0","00:00:14","0","0","0","0","0","0"
"Переходы по рекламе","com.amanotes.beathopper","Азербайджан","1","1","0.0","00:02:30","0","0","0","0","0","0"
"Переходы по рекламе","com.amanotes.beathopper","Иран","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.amelosinteractive.snake","Беларусь","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.amelosinteractive.snake","Россия","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.animal.shifting.shape.shifting","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.ar.merge.emoji.games.mix.emoji","Казахстан","1","1","1.0","00:00:03","0","1","0","0","0","0"
"Переходы по рекламе","com.ararat.cubeszone","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.atesgamestudio.actionballs","Армения","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.atesgamestudio.rollance","Казахстан","1","1","0.0","00:00:58","0","0","0","0","0","0"
"Переходы по рекламе","com.awaytix.anonim.chat.anon.dating.acquaintance","Казахстан","1","1","0.0","00:00:47","0","0","0","0","0","0"
"Переходы по рекламе","com.azurgames.stackball","Таджикистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.banana.jigsaw","Казахстан","1","1","1.0","00:00:02","0","0","0","0","0","0"
"Переходы по рекламе","com.barsstudios.swordplay","Узбекистан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.basicgames.fashiontrends","Кыргызстан","1","1","0.0","00:00:29","0","0","0","0","0","0"
"Переходы по рекламе","com.bbg.drwaonepuzzle.drawline.braingames.brainpuzzle.braintest","Кыргызстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.bbg.one.line.puzzle.games","Не определено","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.bbg.one.line.puzzle.games","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.beatmicracing.ru","Казахстан","1","1","0.0","00:00:17","0","0","0","0","0","0"
"Переходы по рекламе","com.beatrider.neon.rush","Казахстан","1","1","0.0","00:00:22","0","0","0","0","0","0"
"Переходы по рекламе","com.bek.ertak","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.bek.khobrav","Таджикистан","1","1","0.0","00:00:37","0","1","0","0","0","0"
"Переходы по рекламе","com.bellapps.drinkcocktail","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.bestdressupgames.makeover.huawei","Казахстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.bigc.daily.jigsaw.puzzles.huawei","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.bigcake.android.bpdaily","Кыргызстан","1","1","0.0","00:00:20","0","1","0","0","0","0"
"Переходы по рекламе","com.bigcake.android.bpdaily.huawei","Таджикистан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.bigcake.mahjongmatch.huawei","Казахстан","1","1","0.0","00:01:35","0","0","0","0","0","0"
"Переходы по рекламе","com.blackout.bubble","Казахстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.block.juggle","Абхазия","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.block.puzzle.game.hippo.uc","Не определено","1","1","0.0","00:00:17","0","0","0","0","0","0"
"Переходы по рекламе","com.blockpuzzle.us.ios","Армения","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.blossom.tile.match.puzzle","Не определено","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.bob.tallking.game","Казахстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.bottleflip.ru","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.brain.logic.joygame","Казахстан","1","1","0.0","00:01:05","0","0","0","0","0","0"
"Переходы по рекламе","com.bravestars.hair.salon.beauty","Не определено","1","1","0.0","00:15:08","0","0","0","0","0","0"
"Переходы по рекламе","com.bravestars.hair.salon.beauty","Таджикистан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.bravestars.hair.salon.beauty","Узбекистан","1","1","0.0","00:00:33","0","0","0","0","0","0"
"Переходы по рекламе","com.bubble.shooter.boom.star.games","Беларусь","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.bubble.tea.simulator.games","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.bubblepop.frenzy.shooter.free.puzzlegame","Азербайджан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.bubbleshooter.popbubbles.collectcards","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.buswash.repairworkshopgames","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.butchersgames.telekinesisquest","Азербайджан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.butchersgames.telekinesisquest","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.buteratos.mergeragdollfighting","Беларусь","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.byril.seabattle","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.byril.seabattle","Молдова","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.car.parking.bus.mania.traffic.jam","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.car.wash.asmr.satisfying.car.repair.game","Беларусь","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.carrace2.master3d.racing","Узбекистан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.cdgames.fidget3d","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.cdt.monster.band","Казахстан","1","1","0.0","00:00:17","0","0","0","0","0","0"
"Переходы по рекламе","com.chaloapps.roosterrudy","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.chaloapps.roosterrudy","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.changwan.beastreborn.huawei","Беларусь","1","1","0.0","00:00:17","0","0","0","0","0","0"
"Переходы по рекламе","com.changwan.blazedash.huawei","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.changwan.tkdz.huawei","Казахстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.changwan.worldblocks.huawei","Беларусь","1","1","0.0","00:00:12","0","0","0","0","0","0"
"Переходы по рекламе","com.charge.them.all","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.clap.openphone.hypro","Казахстан","1","1","0.0","00:00:17","0","0","0","0","0","0"
"Переходы по рекламе","com.cloudycastlegames.wordline","Россия","1","1","0.0","00:00:21","0","0","0","0","0","0"
"Переходы по рекламе","com.combineinc.streetracing.driftthreeD","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.combineinc.streetracing.driftthreeD","Таджикистан","1","1","0.0","00:00:20","0","0","0","0","0","0"
"Переходы по рекламе","com.craftsman.go","Азербайджан","1","1","0.0","00:00:43","0","0","0","0","0","0"
"Переходы по рекламе","com.crypt.gram.puzz","Казахстан","1","1","0.0","00:01:44","0","0","0","0","0","0"
"Переходы по рекламе","com.csasecurity.app","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.csasecurity.app","Таджикистан","1","1","0.0","00:00:19","0","0","0","0","0","0"
"Переходы по рекламе","com.dancing.smash.hop.game.tiles.circles.beat.piano.beatracing","Кыргызстан","1","1","0.0","00:00:17","0","0","0","0","0","0"
"Переходы по рекламе","com.dashruntall.ru","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.dasmartkz.sozdiizdeugame","Казахстан","1","1","0.0","00:28:00","0","0","0","0","0","0"
"Переходы по рекламе","com.demin.emojipuzzle","Азербайджан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.demin.emojipuzzle","Беларусь","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.dig.deep","Беларусь","1","1","0.0","00:00:52","0","1","0","0","0","0"
"Переходы по рекламе","com.dino.race.master","Таджикистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.dinofun.paintbynumber.pixelgame","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.dobroapps.anti.stress.toys","Узбекистан","1","1","0.0","00:00:21","0","0","0","0","0","0"
"Переходы по рекламе","com.doll.makeover.dressup.games","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.domobile.applockwatcher","Таджикистан","1","1","0.0","00:00:16","0","0","0","0","0","0"
