"Источник трафика","Площадка","Страна","Визиты","Посетители","Отказы","Время на сайте","Целевые посетители (Переход в Telegram)","Целевые посетители (Переход в WhatsApp)","Целевые посетители (Автоцель: клик по email)","Целевые посетители (Отправка формы (go to thank-you-page))","Целевые посетители (Клик кнопки Звонок)","Целевые посетители (Клик номера телефона (footer))"
"Переходы по рекламе","com.mergeplants.mergezombie","Беларусь","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.merry.call.from.santaclaus","Азербайджан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.mgschool.mi","Не определено","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.millecrepestudios.couplelife","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.ming.calculator2me","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.minicraft.pro","Не определено","1","1","0.0","00:00:23","0","0","0","0","0","0"
"Переходы по рекламе","com.minicraft.pro","Туркменистан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.miniit.save.the.guy.game","Азербайджан","1","1","0.0","00:00:13","0","0","0","0","0","0"
"Переходы по рекламе","com.miui.cleaner","Казахстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.miui.cleaner","Туркменистан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.miui.videoplayer","Туркменистан","1","1","0.0","00:00:20","0","0","0","0","0","0"
"Переходы по рекламе","com.mix.color.paint.game","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.mm.cleanMaster.free","Кыргызстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.mm.cryptopulse","Таджикистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.money.run.hypercasual3d","Азербайджан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.monster.bubble.tasty.milktea","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.motorcycle.racing.lmd","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.mountainsea.google.kr","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.mq.makeup.huawei","Узбекистан","1","1","0.0","00:00:21","0","0","0","0","0","0"
"Переходы по рекламе","com.mq.pop.huawei","Беларусь","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.mq.pop.huawei","Узбекистан","1","1","0.0","00:00:18","0","0","0","0","0","0"
"Переходы по рекламе","com.myhometown2.myhometown2","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.mysoft.ahroru","Не определено","1","1","0.0","00:01:26","0","1","0","0","0","0"
"Переходы по рекламе","com.mysoft.ahroru","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.mysoft.dildoraniyozova","Туркменистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.mysoft.odilbekabdulloyev","Туркменистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.mystery.hidden.objects.find.clue.puzzle.games.free","Казахстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.neighbors.darkriddle","Казахстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.noxgames.merge.truck","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.oakever.tiletrip","Азербайджан","1","1","0.0","00:25:04","0","0","0","0","0","0"
"Переходы по рекламе","com.obg.shape.shift.race.master.shape.shifting.tranform.race.shapeshifting","Беларусь","1","1","0.0","00:00:50","0","0","0","0","0","0"
"Переходы по рекламе","com.onebutton.mrsuper2","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.onlineradiofm.uzbekistan","Узбекистан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.openmygame.android.sky.words","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.openmygame.games.android.fillwordsoffline","Азербайджан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.openmygame.games.android.fillwordsoffline","Молдова","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.openmygame.games.android.jigsawpuzzle","Казахстан","1","1","0.0","00:00:22","0","0","0","0","0","0"
"Переходы по рекламе","com.openmygame.games.android.jigsawpuzzle","Молдова","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.openmygame.games.android.jigsawpuzzle","Россия","1","1","0.0","00:00:23","0","0","0","0","0","0"
"Переходы по рекламе","com.openmygame.games.android.wordsearchsea","Беларусь","1","1","0.0","00:00:17","0","0","0","0","0","0"
"Переходы по рекламе","com.openmygame.games.android.wordsearchsea","Узбекистан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.openmygame.games.ios.fillwordsoffline","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.openworld.indiandriving.bikes","Туркменистан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.opera.browser","Азербайджан","1","1","0.0","00:00:14","0","0","0","0","0","0"
"Переходы по рекламе","com.opera.mini.native.beta","Кыргызстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.optimizer.booster.fast.speedy.phone.smooth","Таджикистан","1","1","0.0","00:00:21","0","0","0","0","0","0"
"Переходы по рекламе","com.ordinaryjoy.woodblast","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.oscar.punch.n.hit.master","Казахстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.outfit7.herodash","Кыргызстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.outfit7.herodash","Россия","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.outfit7.herodash","Туркменистан","1","1","1.0","00:00:07","0","0","0","0","0","0"
"Переходы по рекламе","com.outfit7.mytalkingangela2","Беларусь","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.outfit7.mytalkingangelafree","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.outfit7.mytalkinghank","Россия","1","1","1.0","00:00:02","0","0","0","0","0","0"
"Переходы по рекламе","com.outfit7.mytalkinghank","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.outfit7.mytalkingtom2","Туркменистан","1","1","1.0","00:00:02","0","0","0","0","0","0"
"Переходы по рекламе","com.outfit7.mytalkingtom2.2","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.outfit7.mytalkingtom2.2","Кыргызстан","1","1","0.0","00:19:36","0","1","0","0","0","0"
"Переходы по рекламе","com.outfit7.mytalkingtom2.2","Россия","1","1","0.0","00:00:17","0","0","0","0","0","0"
"Переходы по рекламе","com.outfit7.mytalkingtomfree","Армения","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.outfit7.mytalkingtomfree","Беларусь","1","1","0.0","00:01:38","0","0","0","0","0","0"
"Переходы по рекламе","com.outfit7.mytalkingtomfree","Россия","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.outfit7.mytalkingtomfriends","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.outfit7.talkingangelafree","Узбекистан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.p.cl.idolly.dressup","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.panda.likerro","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.passiongamesstudio.mergehunter","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.paurau.MakeHer","Не определено","1","1","0.0","00:00:21","0","0","0","0","0","0"
"Переходы по рекламе","com.paurau.MakeHer","Армения","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.paurau.MoveAnimals","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.pawfect.life","Кыргызстан","1","1","0.0","00:00:23","0","0","0","0","0","0"
"Переходы по рекламе","com.phantom.paperboy","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.phone.security","Кыргызстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.phonemaster.jewelhunter","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.pianomicrhythm.ru","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.pin.screw.color.nuts.bolts.spin.free.game","Беларусь","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.pinwan.cityvehiclesim.huawei","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.pinwan.iron.huawei","Узбекистан","1","1","0.0","00:00:17","0","0","0","0","0","0"
"Переходы по рекламе","com.pinwan.mixyourbeats","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.pinwan.runwayqueen.huawei","Беларусь","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.playflix.kick.breakragdoll.games","Не определено","1","1","0.0","00:00:14","0","0","0","0","0","0"
"Переходы по рекламе","com.playgendary.creamaster","Казахстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.playgendary.kickthebuddy","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.playgendary.ktbremaster","Беларусь","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.playkot.adventure","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.playsense.bulletarmyrun","Азербайджан","1","1","1.0","00:00:10","0","0","0","0","0","0"
"Переходы по рекламе","com.playstrom.dop2","Узбекистан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.playstrom.dop4","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.playstrom.drawonepart","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.prankthefunnywitch.usa","Беларусь","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.project100pi.themusicplayer","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.pronetis.ironball2","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.pronetis.ironball2","Таджикистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.ps.burger.stack.master.cooking.games","Азербайджан","1","1","0.0","00:03:26","0","0","0","0","0","0"
"Переходы по рекламе","com.ps.burger.stack.master.cooking.games","Казахстан","1","1","1.0","00:00:02","0","0","0","0","0","0"
"Переходы по рекламе","com.ps.burger.stack.master.cooking.games","Узбекистан","1","1","0.0","00:00:14","0","0","0","0","0","0"
"Переходы по рекламе","com.ps.thief.puzzle.stickman.game","Не определено","1","1","0.0","00:00:48","0","0","0","0","0","0"
"Переходы по рекламе","com.pujiagames.deeeersimulator","Азербайджан","1","1","0.0","00:07:39","0","0","0","0","0","0"
"Переходы по рекламе","com.pujiagames.deeeersimulator2","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.queen.drink.bubble.tasty.milktea","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.realme.as.music","Узбекистан","1","1","0.0","00:00:19","0","0","0","0","0","0"
"Переходы по рекламе","com.relaxtoy.ru","Казахстан","1","1","0.0","00:00:43","0","0","0","0","0","0"
"Переходы по рекламе","com.rioo.runnersubway","Таджикистан","1","1","0.0","00:01:44","0","0","0","0","0","0"
"Переходы по рекламе","com.rlg.multirobot.dino.attackgames.flying.bike.transform","Азербайджан","1","1","0.0","00:00:28","0","1","0","0","0","0"
"Переходы по рекламе","com.robot.invasion.remote.tv","Казахстан","1","1","1.0","00:00:14","0","0","0","0","0","0"
"Переходы по рекламе","com.robtopx.geometrydashworld","Беларусь","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.robtopx.geometryjumplite","Россия","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.robtopx.geometryjumplite","Туркменистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.rofi.fakecall.prank.app","Узбекистан","1","1","0.0","00:16:57","0","0","0","0","0","0"
"Переходы по рекламе","com.rolling.ball.sky.escape","Казахстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.santa.prankcall.funny.christmas","Узбекистан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.satisfy.organizing.asmr.challenge.relaxing.antistress","Казахстан","1","1","1.0","00:00:02","0","0","0","0","0","0"
"Переходы по рекламе","com.satispuzzlegame.funnygame","Кыргызстан","1","1","0.0","00:02:05","0","0","0","0","0","0"
"Переходы по рекламе","com.satsfying.power.washing","Казахстан","1","1","0.0","00:01:15","0","1","0","0","0","0"
"Переходы по рекламе","com.sbGames.rocketAttack","Азербайджан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.sblazer.russian_car_lada_granta","Казахстан","1","1","0.0","00:03:59","0","0","0","0","0","0"
"Переходы по рекламе","com.scavenger.hunt.find.my.cat.hidden.object.free.brainly.game","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.screw.pin.nuts.bolts.jam.puzzle","Узбекистан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.seam.notes","Азербайджан","1","1","0.0","00:00:28","0","0","0","0","0","0"
"Переходы по рекламе","com.seaweed.cube.shotblock.run2048.io","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.seenax.HideAndSeek","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.seenax.HideAndSeek","Азербайджан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.sega.sonicdash","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.sgs.sniper.agent.agenthunt.shootergame.snipergame.gun.game","Не определено","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.sgs.sniper.agent.agenthunt.shootergame.snipergame.gun.game","Кыргызстан","1","1","0.0","00:00:17","0","0","0","0","0","0"
"Переходы по рекламе","com.sh.draw.oneline.puzzle.game","Узбекистан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.sh.fidget.toys.mini.relaxing.antistress.games","Азербайджан","1","1","0.0","00:00:55","0","0","0","0","0","0"
"Переходы по рекламе","com.sh.mini.antistress.relaxing.games","Не определено","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.sh.mini.antistress.relaxing.games","Кыргызстан","1","1","0.0","00:04:16","0","0","0","0","0","0"
"Переходы по рекламе","com.sh.mini.kitchen.set.fever.restaurants.chef.cooking.games","Туркменистан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.sh.tricky.relax.ticktock.mini.challenges.puzzle.games","Узбекистан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.sharkfingames.salon.time","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.sky.rolling.ball.jump.balance.escape.adventure","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.smallbell.Antistress.mi","Казахстан","1","1","0.0","00:00:17","0","0","0","0","0","0"
"Переходы по рекламе","com.smallbell.RopeMaster.mi","Узбекистан","1","1","0.0","00:00:23","0","0","0","0","0","0"
"Переходы по рекламе","com.snakegame.worms.io","Казахстан","1","1","0.0","00:03:53","0","0","0","0","0","0"
"Переходы по рекламе","com.solou.catendless.run","Казахстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.sorting.games.match3d.goods.triple.puzzle","Россия","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.star.fashion.idol.live.anime.princess.dressup","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.starfun.goods.sort.triple.match","Россия","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.stellajoy.jigsawsolitaire","Не определено","1","1","0.0","00:17:59","0","0","0","0","0","0"
"Переходы по рекламе","com.stellajoy.jigsawsolitaire","Армения","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.stresstap.ease.asmr","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.studio27.MelonPlayground","Кыргызстан","1","1","0.0","00:00:32","0","0","0","0","0","0"
"Переходы по рекламе","com.sunsetgames.copcarscan","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.superbox.aos.jewelsjungle","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.survival456.squid.run","Иран","1","1","0.0","00:00:21","0","0","0","0","0","0"
"Переходы по рекламе","com.sz.car.driving.simulator.games","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.tallmanrun.ru","Узбекистан","1","1","0.0","00:00:14","0","0","0","0","0","0"
"Переходы по рекламе","com.tb.fashion.walk.games","Азербайджан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.tfgco.apps.coloring.free.color.by.number","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.tfv.draw.one.missing.partdop.puzzle.games","Азербайджан","1","1","0.0","00:00:50","0","0","0","0","0","0"
"Переходы по рекламе","com.tfv.draw.one.missing.partdop.puzzle.games","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.tile.match.blockpuzzle","Россия","1","1","0.0","00:01:02","0","0","0","0","0","0"
"Переходы по рекламе","com.tomato.crossword.collection","Казахстан","1","1","0.0","00:00:34","0","0","0","0","0","0"
"Переходы по рекламе","com.tomato.pasbayan","Узбекистан","1","1","0.0","00:01:56","0","0","0","0","0","0"
"Переходы по рекламе","com.tp.pmu3d","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.tp.pmu3d","Таджикистан","1","1","0.0","00:24:33","0","0","0","0","0","0"
"Переходы по рекламе","com.tp.pmu3d","Узбекистан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.tpsamuraistick.ru","Узбекистан","1","1","0.0","00:02:07","0","0","0","0","0","0"
"Переходы по рекламе","com.tralalelo.mukbang.asmr.game","Азербайджан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.tripledot.woodoku","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.tripledot.woodoku","Россия","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.turbo.stars","Беларусь","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.tvf.anti.stress.relaxing.mini.games","Кыргызстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.tzl.bear.huawei","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.tzl.clubstory.xm","Азербайджан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.u14.backyardmaster","Азербайджан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.u14.backyardmaster","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.uc.minigame.relax","Вьетнам","1","1","0.0","00:11:53","0","0","0","0","0","0"
"Переходы по рекламе","com.uc.minigame.relax","Россия","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.uc.sprunki.transform","Не определено","1","1","0.0","00:25:56","0","0","0","0","0","0"
"Переходы по рекламе","com.vehicleparking.ru","Узбекистан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.veraxen.jigsaw","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.vesna.solitaire.klondike","Казахстан","1","1","0.0","00:00:11","0","0","0","0","0","0"
"Переходы по рекламе","com.viber.voip","Беларусь","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.viber.voip","Узбекистан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.vid.lite.supledown","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.video.mimk.max","Молдова","1","1","0.0","00:00:17","1","0","0","0","0","0"
"Переходы по рекламе","com.village.quest","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.vitastudio.mahjong","Китай","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.voidrealm.stickwarriors.darkage","Азербайджан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.wW3SchoolsOnlineWebTutorials_12396648","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.wedding.run","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.wedding.run","Узбекистан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.weloadin.dessertdiy","Казахстан","1","1","1.0","00:00:01","0","0","0","0","0","0"
"Переходы по рекламе","com.wn.hairtattoo","Узбекистан","1","1","0.0","00:00:48","0","0","0","0","0","0"
"Переходы по рекламе","com.wood.bolt.wordle.screw.nuts.puzzle","Кыргызстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.wrx.Avata.mi","Кыргызстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.wrx.DirtBikeExtreme.mi","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.wrx.fashion.mi","Таджикистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.wrx.ivePor.mi","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.wrx.keupst.mi","Кыргызстан","1","1","0.0","00:00:17","0","0","0","0","0","0"
"Переходы по рекламе","com.ws.unicorn.runner.kingdom","Азербайджан","1","1","0.0","00:07:57","0","0","0","0","0","0"
"Переходы по рекламе","com.wz.CityVillageLifeSimulator.mi","Кыргызстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.wz.SchoolLoveStory.mi","Кыргызстан","1","1","0.0","00:00:30","0","0","0","0","0","0"
"Переходы по рекламе","com.xmonetize.quizzland","Казахстан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.yanhang.closetcarnival.huawei","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.yg.ball.challenge","Кыргызстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.yg.ball.challenge","Узбекистан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.yg.balls.parkour","Таджикистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.yg.bike.racinggame","Казахстан","1","1","1.0","00:00:03","0","0","0","0","0","0"
"Переходы по рекламе","com.yg.boxing.annoying","Таджикистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.yg.dinosaur.lsland","Казахстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.yg.fashionqueen","Узбекистан","1","1","0.0","00:00:18","0","0","0","0","0","0"
"Переходы по рекламе","com.yg.obbyparkour","Не определено","1","1","0.0","00:00:14","0","0","0","0","0","0"
"Переходы по рекламе","com.yg.obbyparkour","Казахстан","1","1","1.0","00:00:12","0","0","0","0","0","0"
"Переходы по рекламе","com.yg.realmotocross","Азербайджан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.yg.realxtremecar","Узбекистан","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","com.yg.sf.minigames","Таджикистан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.yg.stunt.motorcycle","Не определено","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","com.yg.stunt.motorcycle","Кыргызстан","1","1","0.0","00:00:43","0","0","0","0","0","0"
"Переходы по рекламе","com.yg.templeballs","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.yg.ticfungames","Кыргызстан","1","1","0.0","00:00:27","0","1","0","0","0","0"
"Переходы по рекламе","com.yippo.ai","Узбекистан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.ylans.zombie","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.youmusic.magictiles","Узбекистан","1","1","0.0","00:01:19","0","0","0","0","0","0"
"Переходы по рекламе","com.zm.crossmath","Беларусь","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","com.zm.watersort","Армения","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","cq.ru","Кыргызстан","1","1","0.0","00:00:20","0","0","0","0","0","0"
"Переходы по рекламе","deti.mail.ru","Казахстан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","deti.mail.ru","Узбекистан","1","1","0.0","00:00:15","0","0","0","0","0","0"
"Переходы по рекламе","dragon.virtual.pet.game","Беларусь","1","1","0.0","00:00:16","0","0","0","0","0","0"
"Переходы по рекламе","drive.place","Молдова","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","drug.vokrug","Не определено","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","dsp-huawei.yandex.ru","Кыргызстан","1","1","0.0","00:00:37","0","0","0","0","0","0"
"Переходы по рекламе","dsp-huawei.yandex.ru","Узбекистан","1","1","0.0","00:00:22","0","0","0","0","0","0"
"Переходы по рекламе","dsp-inmobi.yandex.ru","Россия","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","dsp-ironsource.yandex.ru","Армения","1","1","1.0","00:00:02","0","0","0","0","0","0"
"Переходы по рекламе","dsp-minimob-ww.yandex.ru","Не определено","1","1","1.0","00:00:01","0","0","0","0","0","0"
"Переходы по рекламе","dsp-minimob-ww.yandex.ru","Кыргызстан","1","1","1.0","00:00:00","0","0","0","0","0","0"
"Переходы по рекламе","dsp-minimob-ww.yandex.ru","Молдова","1","1","1.0","00:00:03","0","1","0","0","0","0"
