Источник трафика;Площадка;Страна;Визиты;Посетители;Коэффициент отказов;Среднее время на сайте, сек;Целевые посетители (Переход в Telegram);Целевые посетители (Переход в WhatsApp);Целевые посетители (Автоцель: клик по email);Целевые посетители (Отправка формы (go to thank-you-page));Целевые посетители (Клик кнопки Звонок);Целевые посетители (Клик номера телефона (footer));Total goals;Junk source
Переходы по рекламе;b2b.house;Россия;1.0;1.0;0.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;ball.sort.puzzle.color.bubble.games.magic;Казахстан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;ball.sort.puzzle.color.sorting.bubble.games;Россия;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;ballz.star;Казахстан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;beboo.ru;Россия;1.0;1.0;0.0;225.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;bek.tj.namozdakhushu;Узбекистан;1.0;1.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;bizlida.by;Беларусь;1.0;1.0;0.0;236.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;blockpuzzle.jewelgames.jewelslegend;Казахстан;1.0;1.0;0.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;blockpuzzle.jewelgames.jewelslegend;Узбекистан;1.0;1.0;0.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;bolshoyvopros.ru;Беларусь;1.0;1.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;bubble.shoot.fruit.splash.game2;Казахстан;1.0;1.0;1.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;bubble.shooter.pop.marble.cannon.match.color.three.puzzle.game;Таджикистан;1.0;1.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;by.tut.nurkz.android;Казахстан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;car.jam.traffic.seat.unblock;Россия;1.0;1.0;0.0;279.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;ok
Переходы по рекламе;caravan.kz;Казахстан;1.0;1.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;casual.celeb.fake.call;Казахстан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;casual.shape.transform.race;Казахстан;1.0;1.0;0.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;cataloxy.ru;Россия;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;cc.bubble.family;Азербайджан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;cct.clever.courageous.treasure;Таджикистан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;championat.com;Армения;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;championat.com;Россия;1.0;1.0;0.0;126.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;classic.card.solitaire.pgmaker.huawei;;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;cn.feelcool.superfiles;;1.0;1.0;0.0;193.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;color.paint.by.number.pgmaker.huawei;Молдова;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.Binacle.FirstToLife;Казахстан;1.0;1.0;0.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;com.CabinaGames.ToiletFight;Казахстан;1.0;1.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.CristianoRonaldo.RonaldoPuzzleCR7;Узбекистан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.DVloper.Granny3;Казахстан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.FailGames.RusCarsCrash;Кыргызстан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;com.IceCubeGame.CarCops;Казахстан;1.0;1.0;0.0;18.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;ok
Переходы по рекламе;com.IceCubeGame.CarCops;Узбекистан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;com.KisekiGames.smart;Казахстан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.LaplaceShukret.PlantsVsBrain;Казахстан;1.0;1.0;0.0;34.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;ok
Переходы по рекламе;com.LastCall.OperSueta;Узбекистан;1.0;1.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.Lightneer.BazookaBoy;Казахстан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.MadOut.BIG;Казахстан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.MadOut.BIG;Кыргызстан;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
Переходы по рекламе;com.MegaJoy.CatPuzzle68;Казахстан;1.0;1.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;junk
